Character Builder Lite	Ron's Character Planner	DDO Builder
Acrobatic	Acrobatic	Acrobatic
Adamantine Body	Adamantine Body	Adamantine Body
Adept of Forms	Monk Feats: Adept of Forms	
Alertness	Alertness	Alertness
Arcane Insight	Epic: Arcane Insight	Arcane Insight
Arcane Pulse	Arcane Sphere: Arcane Pulse	Arcane Pulse
Arcane Warrior	Multiple Spheres: Arcane Warrior	Arcane Warrior
Armor Proficiency: Heavy	Heavy Armor Proficiency	Heavy Armor Proficiency
Armor Proficiency: Light	Light Armor Proficiency	Light Armor Proficiency
Armor Proficiency: Medium	Medium Armor Proficiency	Medium Armor Proficiency
Athletic	Athletic	Athletic
Augment Summoning	Augment Summoning	Augment Summoning
Beloved of: Amaunator	Beloved of Amaunator	Beloved of Amaunator
Beloved of: Aureon	Beloved of Aureon	
Beloved of: Helm	Beloved of Helm	
Beloved of: Lord of Blades	Beloved of the Lord of Blades	Beloved of the Lord of Blades
Beloved of: Olladra	Beloved of Olladra	
Beloved of: Onatar	Beloved of Onatar	
Beloved of: Silvanus	Beloved of Silvanus	
Beloved of: Silver Flame	Beloved of the Silver Flame	Beloved of the Silver Flame
Beloved of: Sovereign Host	Beloved of the Sovereign Host	Beloved of the Sovereign Host
Beloved of: The Blood of Vol	Beloved of the Blood of Vol	
Beloved of: Undying Court	Beloved of the Undying Court	Beloved of the Undying Court
Beloved of: Vulkoor	Beloved of Vulkoor	Beloved of Vulkoor
Blinding Speed	Epic: Blinding Speed	Blinding Speed
Bond of the Fallen	Aasimar: Bond: Protector	Bond of the Fallen
Bond of the Protector	Aasimar: Bond: Fallen	Bond of the Protector
Bow Strength	Bow Strength	Bow Strength
Brutal Throw	Brutal Throw	Brutal Throw
Bullheaded	Bullheaded	Bullheaded
Bulwark of Defense	Epic: Bulwark of Defense	Bulwark of Defense
Burst of Glacial Wrath	Epic: Burst of Glacial Wrath	Burst of Glacial Wrath
Child of: Amaunator	Child of Amaunator	Child of Amaunator
Child of: Aureon	Child of Aureon	Child of Aureon
Child of: Helm	Child of Helm	Child of Helm
Child of: Lord of Blades	Child of the Lord of Blades	Child of the Lord of Blades
Child of: Olladra	Child of Olladra	Child of Olladra
Child of: Onatar	Child of Onatar	Child of Onatar
Child of: Silvanus	Child of Silvanus	Child of Silvanus
Child of: Silver Flame	Child of the Silver Flame	Child of the Silver Flame
Child of: Sovereign Host	Child of the Sovereign Host	Child of the Sovereign Host
Child of: The Blood of Vol	Child of the Blood of Vol	Child of the Blood of Vol
Child of: Undying Court	Child of the Undying Court	Child of the Undying Court
Child of: Vulkoor	Child of Vulkoor	Child of Vulkoor
Cleave	Cleave	Cleave
Combat Archery	Epic: Combat Archery	Combat Archery
Combat Casting	Combat Casting	Combat Casting
Combat Expertise	Combat Expertise	Combat Expertise
Completionist	Completionist	Completionist
Construct Essence	Construct Essence	Construct Essence
Construct Exemplar	Epic: Construct Exemplar	Construct Exemplar
Crippling Strike	Crippling Strike	Crippling Strike
Damage Reduction: Adamantine	Favored Soul Damage Reduction: Adamantine	Favored Soul Damage Reduction: Adamantine
Damage Reduction: Cold Iron	Favored Soul Damage Reduction: Cold Iron	Favored Soul Damage Reduction: Cold Iron
Damage Reduction: Good	Favored Soul Damage Reduction: Good	Favored Soul Damage Reduction: Good
Damage Reduction: Silver	Favored Soul Damage Reduction: Silver	Favored Soul Damage Reduction: Silver
Defensive Roll	Defensive Roll	Defensive Roll
Deflect Arrows	Deflect Arrows	Deflect Arrows
Deific Warding	Divine Sphere: Deific Warding	Deific Warding
Deity Ability: Amaunator's Flames	Amaunator's Brilliance	Amaunator's Brilliance
Deity Ability: Aureon's Instruction	Aureon's Instruction	Aureon's Instruction
Deity Ability: Bladesworn Transformation	Bladesworn Transformation	Bladesworn Transformation
Deity Ability: Blessing of Silvanus	Blessing of Silvanus	Blessing of Silvanus
Deity Ability: Ever Watchful	Ever Watchful	Ever Watchful
Deity Ability: Luck of Olladra	Luck of Olladra	Luck of Olladra
Deity Ability: Onatar's Forge	Ontar's Forge	Onatar's Forge
Deity Ability: Silver Flame Exorcism	Silver Flame Exorcism	Silver Flame Exorcism
Deity Ability: The Blood is The Life	The Blood is The Life	The Blood is The Life
Deity Ability: Undying Call	Undying Call	Undying Call
Deity Ability: Unyielding Sovereignty	Unyielding Sovereignty	Unyielding Sovereignty
Deity Ability: Vulkoor's Avatar	Vulkoor's Avatar	Vulkoor's Avatar
Diehard	Diehard	Diehard
Dire Charge	Martial Sphere: Dire Charge	Dire Charge
Discipline	Discipline	Discipline
Dodge	Dodge	Dodge
Domain: Air Domain	Domain: Air Domain	Air Domain Tier I
Domain: Animal Domain	Domain: Animal Domain	Animal Domain Tier I
Domain: Chaos Domain	Domain: Chaos Domain	Chaos Domain Tier I
Domain: Death Domain	Domain: Death Domain	Death Domain Tier I
Domain: Destruction Domain	Domain: Destruction Domain	Desctruction Domain Tier I
Domain: Earth Domain	Domain: Earth Domain	Earth Domain Tier I
Domain: Fire Domain	Domain: Fire Domain	Fire Domain Tier I
Domain: Good Domain	Domain: Good Domain	Good Domain Tier I
Domain: Healing Domain	Domain: Healing Domain	Healing Domain Tier I
Domain: Knowledge Domain	Domain: Knowledge Domain	Knowledge Domain Tier I
Domain: Law Domain	Domain: Law Domain	Law Domain Tier I
Domain: Luck Domain	Domain: Luck Domain	Luck Domain Tier I
Domain: Magic Domain	Domain: Magic Domain	Magic Domain Tier I
Domain: Protection Domain	Domain: Protection Domain	Protection Domain Tier I
Domain: Strength Domain	Domain: Strength Domain	Strength Domain Tier I
Domain: Sun Domain	Domain: Sun Domain	Sun Domain Tier I
Domain: Trickery Domain	Domain: Trickery Domain	Trickery Domain Tier I
Domain: War Domain	Domain: War Domain	War Domain Tier I
Domain: Water Domain	Domain: Water Domain	Water Domain Tier I
Doubleshot	Primal Sphere: Doubleshot	Doubleshot
Draconic Ancestry: Black	Draconic Ancestry: Black	Draconic Ancestry: Black
Draconic Ancestry: Blue	Draconic Ancestry: Blue	Draconic Ancestry: Blue
Draconic Ancestry: Red	Draconic Ancestry: Red	Draconic Ancestry: Red
Draconic Ancestry: White	Draconic Ancestry: White	Draconic Ancestry: White
Dreamscape	Multiple Spheres: Dreamscape	Dreamscape
Elusive Target	Martial Sphere: Elusive Target	Elusive Target
Embodiment of Law	Multiple Spheres: Embodiment of Order	Embodiment of Law
Embolden Spell	Epic: Embolden Spell	Embolden Spell
Empower Healing Spell	Empower Healing Spell	Empower Healing Spell
Empower Spell	Empower Spell	Empower Spell
Energy Absorption: Acid	Energy Resistance: Acid	Energy Absorption: Acid
Energy Absorption: Cold	Energy Resistance: Cold	Energy Absorption: Cold
Energy Absorption: Electricity	Energy Resistance: Electricity	Energy Absorption: Electricity
Energy Absorption: Fire	Energy Resistance: Fire	Energy Absorption: Fire
Energy Absorption: Sonic	Energy Resistance: Sonic	Energy Absorption: Sonic
Enlarge Spell	Enlarge Spell	Enlarge Spell
Epic Arcane Eldritch Blast	Arcane Sphere: Epic Arcane Eldritch Blast	Epic Arcane Eldritch Blast
Epic Damage Reduction	Epic: Epic Damage Reduction	Epic Damage Reduction
Epic Eldritch Blast	Epic: Epic Eldritch Blast	Epic Eldritch Blast
Epic Fortitude	Epic: Epic Fortitude	Epic Fortitude
Epic Mage Armor	Arcane Sphere: Epic Mage Armor	Epic Mage Armor
Epic Mental Toughness	Epic: Epic Mental Toughness	Epic Mental Toughness
Epic Reflexes	Epic: Epic Reflexes	Epic Reflexes
Epic Reputation	Epic: Epic Reputation	Epic Reputation
Epic Skill Focus: Balance	Martial Sphere: Epic Skill Focus: Balance	Epic Skill Focus: Balance
Epic Skill Focus: Bluff	Divine Sphere: Epic Skill Focus: Bluff	Epic Skill Focus: Bluff
