Min level	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
General	Stat	1	2	2	3	4	4	5	5	5	6	6	6	7	7	8	8	8	9	9	9	10	10	11	11	11	12	12	12	13	13	13	14	14	15
General	Ins. Stat	0	0	0	1	1	1	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	7
General	Skill	3	4	5	6	7	8	9	10	11	12	13	14	15	15	16	16	16	17	17	17	18	18	18	18	19	19	19	19	20	20	20	21	21	22
General	Ins. Skill	1	2	2	3	3	4	4	5	5	6	6	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9	9	9	10	10	10	10	10	11
General	Striding	3	4	5	8	9	10	11	12	13	15	16	18	19	21	22	24	25	27	28	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30

Offense	Alacrity	1	2	2	4	4	5	5	6	6	7	8	9	9	10	11	12	12	13	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Offense	Doublestrike	2	2	3	4	4	5	5	6	6	6	7	7	8	8	9	9	9	10	10	11	11	12	12	12	13	13	14	14	15	15	15	16	16	17
Offense	Doubleshot	1	1	2	2	3	3	3	3	3	4	4	4	4	5	5	5	5	6	6	6	6	6	7	7	7	7	8	8	8	8	9	9	9	9
Offense	Armor Piercing	2	3	4	5	6	6	7	8	8	9	9	10	11	11	12	12	13	14	14	15	15	16	17	17	18	18	19	20	20	21	21	22	23	23
Offense	Deadly	1	2	2	3	3	3	4	4	4	5	5	5	6	6	6	6	7	7	7	8	8	8	9	9	9	9	10	10	10	11	11	11	12	12
Offense	Ins. Deadly	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5
Offense	Accuracy	2	3	4	5	6	6	7	8	8	9	9	10	11	11	12	12	13	14	14	15	15	16	17	17	18	18	19	20	20	21	21	22	23	23
Offense	Ins. Accuracy	0	1	1	2	2	2	3	3	3	4	4	4	5	5	5	5	6	6	6	7	7	7	8	8	8	8	9	9	9	10	10	10	11	11
Offense	Seeker	1	2	2	3	4	4	5	5	5	6	6	6	7	7	8	8	8	9	9	9	10	10	11	11	11	12	12	12	13	13	13	14	14	15
Offense	Ins. Seeker	0	0	0	1	1	1	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	7

Weapon	Enhancement Bonus	1	1	2	2	2	3	3	3	3	4	4	4	4	5	5	5	5	6	6	6	6	6	6	6	7	7	8	10	11	12	12	12	13	13
Weapon	Base Damage	1[W]	1[W]	1[W]	1[W]	1[W]	1[W]	1[W]	1[W]	1[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	1.5[W]	2[W]	2[W]	2[W]	2[W]	3[W]	3[W]	3[W]	3[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]	4[W]
Weapon	Damage Effect	1d6	1d6	1d6	2d6	2d6	2d6	2d6	2d6	3d6	3d6	3d6	3d6	3d6	3d6	4d6	4d6	4d6	4d6	4d6	4d6	5d6	5d6	5d6	5d6	5d6	5d6	6d6	6d6	6d6	6d6	6d6	6d6	7d6	7d6
Weapon	Bane	1d10	1d10	1d10	2d10	2d10	2d10	2d10	2d10	3d10	3d10	3d10	3d10	3d10	3d10	4d10	4d10	4d10	4d10	4d10	4d10	5d10	5d10	5d10	5d10	5d10	5d10	6d10	6d10	6d10	6d10	6d10	6d10	7d10	7d10
Weapon	Implement Bonus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
Weapon	Stat Damage	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4
Weapon	Vampirism	1d2	1d2	1d2	1d2	1d2	1d2	1d2	1d2	1d2	1d2	1d2	1d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	2d2	3d2	3d2	3d2	3d2	3d2

Tactics	Tactics	1	2	3	4	4	5	5	6	6	6	7	7	8	8	9	9	9	10	10	11	11	12	12	12	13	13	14	14	15	15	15	16	16	17
Tactics	Ins. Tactics	0	0	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	5	5	5	5	5	6	6	6	6	6	7	7	7	7	8
Tactics	Combat Mastery	1	2	2	3	3	3	4	4	4	5	5	5	6	6	6	6	7	7	7	8	8	8	9	9	9	9	10	10	10	11	11	11	12	12
Tactics	Ins. Combat Mastery	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6
Tactics	Tendon Slice	1	2	2	3	3	3	4	4	4	5	5	5	6	6	6	6	7	7	7	8	8	8	9	9	9	9	10	10	10	11	11	11	12	12
Tactics	Ins. Tendon Slice	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5

Tanking	Protection	1	2	2	3	3	3	4	4	4	5	5	5	6	6	6	6	6	7	7	8	8	8	9	9	9	9	10	10	10	11	11	11	12	12
Tanking	Natural Armor	1	2	2	3	4	4	5	5	5	6	6	6	7	7	8	8	8	9	9	9	10	10	11	11	11	12	12	12	13	13	13	14	14	15
Tanking	Incite	7	9	10	12	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	37	38	39	42	41	42	43	44	45
Tanking	Ins. Incite	1	2	3	4	4	5	5	6	6	7	7	8	9	9	10	10	10	11	12	12	13	13	14	14	15	16	16	17	17	18	18	19	19	20
Tanking	Shield Bashing	2	3	4	5	6	6	7	8	8	9	9	10	11	11	12	12	13	14	14	15	15	16	17	17	18	18	19	20	20	21	21	22	23	23
Tanking	Shield Spikes	1d6	1d6	1d6	2d6	2d6	2d6	2d6	2d6	3d6	3d6	3d6	3d6	3d6	3d6	4d6	4d6	4d6	4d6	4d6	4d6	5d6	5d6	5d6	5d6	5d6	5d6	6d6	6d6	6d6	6d6	6d6	6d6	7d6	7d6
Tanking	Bashing	1d6	1d6	1d6	2d6	2d6	2d6	2d6	2d6	3d6	3d6	3d6	3d6	3d6	3d6	4d6	4d6	4d6	4d6	4d6	4d6	5d6	5d6	5d6	5d6	5d6	5d6	6d6	6d6	6d6	6d6	6d6	6d6	7d6	7d6

Stealth	Assassinate	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	6	7	7
Stealth	Ins. Assassinate	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3
Stealth	Diversion	2	3	4	5	6	6	7	8	8	9	9	10	11	11	12	12	13	14	14	15	15	16	17	17	18	18	19	20	20	21	21	22	23	23
Stealth	Ins. Diversion	0	1	1	2	2	2	3	3	3	4	4	4	5	5	5	5	6	6	6	7	7	7	8	8	8	8	9	9	9	10	10	10	11	11

Defense	False Life	4	7	8	12	14	15	17	18	20	21	23	24	26	27	29	30	32	33	35	36	38	39	41	42	44	45	47	48	50	51	53	54	56	57
Defense	Vitality	4	6	7	10	12	13	15	16	17	19	20	21	23	24	25	27	28	29	31	32	33	35	36	37	39	40	41	43	44	45	47	48	49	51
Defense	Healing Amplification	4	7	8	12	14	16	17	19	21	22	24	25	27	29	30	32	33	35	37	38	40	41	43	45	46	48	49	51	53	54	56	57	59	61
Defense	Fortification	38	43	47	55	59	63	66	70	73	77	80	84	87	90	94	97	101	104	108	111	115	118	122	125	128	132	135	139	142	146	149	153	156	159
Defense	Ins. Fortification	19	21	23	27	29	31	33	35	36	38	40	42	43	45	47	48	50	52	54	55	57	59	61	62	64	66	67	69	71	73	74	76	78	79
Defense	Sheltering	3	4	5	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
Defense	Ins. Sheltering	1	1	2	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18
Defense	Dodge	1	2	2	3	4	4	5	5	5	6	6	6	7	7	8	8	8	9	9	9	10	10	11	11	11	12	12	12	13	13	14	14	14	15
Defense	Ins. Dodge	0	0	0	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	7
Defense	Spell Resistance	3	4	5	7	8	9	10	11	12	13	13	14	15	16	17	18	19	20	20	21	22	23	24	25	26	27	27	28	29	30	31	32	33	34
Defense	Ins. Spell Resistance	2	2	3	4	4	5	5	6	6	7	7	7	8	8	9	9	10	10	10	11	11	12	12	13	13	14	14	14	15	15	16	16	17	17
Defense	Energy Resistance	4	7	8	12	14	15	17	18	20	21	23	24	26	27	29	30	32	33	35	36	38	39	41	42	44	45	47	48	50	51	53	54	56	57
Defense	Ins. Energy Resistance	1	2	4	5	6	6	7	8	9	10	11	11	12	13	14	14	15	16	17	17	18	19	20	20	21	22	23	23	24	25	26	27	27	28
Defense	Energy Absorption	11	13	13	15	16	17	18	18	19	20	21	21	22	23	24	24	25	26	27	27	28	29	30	30	31	32	33	33	34	35	36	36	37	38
